pattern,seqID,syll_1,syll_2,syll_3,syll_4,position
A3A2B2B3,seq_0000,A3_e_g.wav,A2_i_d.wav,B2_o_t.wav,A2_e_d.wav,-1
A1A2B2B1,seq_0001,A1_i_b.wav,A2_e_d.wav,A2_i_d.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0002,A2_e_d.wav,A1_i_b.wav,B1_o_p.wav,A1_e_b.wav,-1
A2A1B1B2,seq_0003,A2_i_d.wav,A1_i_b.wav,A3_e_g.wav,B2_o_t.wav,-2
A2A1B1B2,seq_0004,A2_e_d.wav,A1_i_b.wav,B1_u_p.wav,A3_e_g.wav,-1
A2A3B3B2,seq_0005,A2_e_d.wav,A3_i_g.wav,A2_i_d.wav,B2_o_t.wav,-2
A1A2B2B1,seq_0006,A1_i_b.wav,A2_e_d.wav,B2_o_t.wav,A1_i_b.wav,-1
A3A2B2B3,seq_0007,A3_i_g.wav,A2_i_d.wav,B2_o_t.wav,A1_i_b.wav,-1
A1A2B2B1,seq_0008,A1_e_b.wav,A2_e_d.wav,B2_o_t.wav,A2_i_d.wav,-1
A3A1B1B3,seq_0009,A3_e_g.wav,A1_i_b.wav,B1_o_p.wav,A3_e_g.wav,-1
A3A1B1B3,seq_0010,A3_i_g.wav,A1_e_b.wav,A2_i_d.wav,B3_u_k.wav,-2
A2A3B3B2,seq_0011,A2_i_d.wav,A3_i_g.wav,B3_o_k.wav,A2_i_d.wav,-1
A3A1B1B3,seq_0012,A3_i_g.wav,A1_i_b.wav,A2_e_d.wav,B3_o_k.wav,-2
A1A3B3B1,seq_0013,A1_e_b.wav,A3_i_g.wav,B3_o_k.wav,A2_i_d.wav,-1
A1A2B2B1,seq_0014,A1_e_b.wav,A2_i_d.wav,A2_e_d.wav,B1_o_p.wav,-2
A2A1B1B2,seq_0015,A2_i_d.wav,A1_i_b.wav,B1_o_p.wav,A2_e_d.wav,-1
A1A3B3B1,seq_0016,A1_e_b.wav,A3_i_g.wav,A3_i_g.wav,B1_o_p.wav,-2
A2A3B3B2,seq_0017,A2_i_d.wav,A3_i_g.wav,B3_u_k.wav,A3_i_g.wav,-1
A3A1B1B3,seq_0018,A3_i_g.wav,A1_e_b.wav,A1_i_b.wav,B3_o_k.wav,-2
A3A2B2B3,seq_0019,A3_i_g.wav,A2_e_d.wav,A2_i_d.wav,B3_u_k.wav,-2
A3A2B2B3,seq_0020,A3_e_g.wav,A2_e_d.wav,B2_o_t.wav,A1_e_b.wav,-1
